type	LP	IPop	PPPGDP	LP_rank	LP_perc_Asia(Not)	LP_perc_World	IPop_rank	IPop_perc_Asia(Not)	IPop_perc_World	PPPGDP_rank	PPPGDP_perc_Asia(Not)	PPPGDP_perc_World	Language
mas	1.3630	0.2913	3.2856	103.0000	0.0868	0.0194	119.0000	0.0354	0.0109	181.0000	0.0085	0.0032	Masai
scn	0.4894	0.2861	16.6906	185.0000	0.0312	0.0070	120.5000	0.0348	0.0107	81.0000	0.0434	0.0164	Sicilian
ndc	3.3577	0.2861	4.2379	52.0000	0.2138	0.0478	120.5000	0.0348	0.0107	167.0000	0.0110	0.0042	Ndau
id	0.3024	0.2842	14.0451	219.0000	0.0193	0.0043	122.0000	0.0345	0.0106	88.0000	0.0365	0.0138	Indonesian
os	0.4598	0.2823	11.1732	190.5000	0.0293	0.0065	123.5000	0.0343	0.0105	107.5000	0.0290	0.0110	Ossetic
sah	0.4598	0.2823	11.1732	190.5000	0.0293	0.0065	123.5000	0.0343	0.0105	107.5000	0.0290	0.0110	Sakha
bg	0.5933	0.2774	4.3501	168.0000	0.0378	0.0084	125.0000	0.0337	0.0104	166.0000	0.0113	0.0043	Bulgarian
kbd	0.4455	0.2735	10.8240	194.5000	0.0284	0.0063	126.5000	0.0332	0.0102	112.5000	0.0281	0.0106	Kabardian
myv	0.4455	0.2735	10.8240	194.5000	0.0284	0.0063	126.5000	0.0332	0.0102	112.5000	0.0281	0.0106	Erzya
ro	0.4849	0.2475	6.1980	186.0000	0.0309	0.0069	128.0000	0.0301	0.0092	146.0000	0.0161	0.0061	Romanian
pnt_Grek	0.4093	0.2451	10.2846	198.0000	0.0261	0.0058	129.0000	0.0298	0.0091	117.0000	0.0267	0.0101	Pontic (Greek)
ebu	0.6270	0.2445	1.8865	162.0000	0.0399	0.0089	130.0000	0.0297	0.0091	216.0000	0.0049	0.0019	Embu
dyu	5.4198	0.2385	8.8762	37.0000	0.3451	0.0772	131.0000	0.0290	0.0089	124.0000	0.0231	0.0087	Dyula
dar	0.3736	0.2294	9.0782	202.0000	0.0238	0.0053	132.0000	0.0279	0.0086	123.0000	0.0236	0.0089	Dargwa
rue	0.5445	0.2276	4.7101	175.0000	0.0347	0.0078	133.0000	0.0277	0.0085	158.0000	0.0122	0.0046	Rusyn
laj	1.3993	0.2267	2.3519	102.0000	0.0891	0.0199	134.0000	0.0276	0.0085	201.0000	0.0061	0.0023	Lango (Uganda)
zea	0.2352	0.2210	10.9240	233.0000	0.0150	0.0033	135.0000	0.0269	0.0082	111.0000	0.0284	0.0107	Zeelandic
ach	1.3625	0.2207	2.2900	104.0000	0.0868	0.0194	136.0000	0.0268	0.0082	204.0000	0.0060	0.0022	Acoli
ja	0.4222	0.2178	6.3270	197.0000	0.0269	0.0060	137.0000	0.0265	0.0081	143.0000	0.0164	0.0062	Japanese
quc	1.0837	0.2135	7.9004	121.0000	0.0690	0.0154	138.0000	0.0259	0.0080	131.0000	0.0205	0.0078	Kʼicheʼ
fi	0.2292	0.2115	9.6198	236.0000	0.0146	0.0033	139.0000	0.0257	0.0079	120.0000	0.0250	0.0094	Finnish
ksh	0.2424	0.2035	10.5383	231.0000	0.0154	0.0035	140.0000	0.0247	0.0076	115.0000	0.0274	0.0103	Colognian
nhe	0.4617	0.2007	8.0297	189.0000	0.0294	0.0066	141.0000	0.0244	0.0075	130.0000	0.0209	0.0079	Eastern Huasteca Nahuatl
nhw	0.4499	0.1955	7.8238	193.0000	0.0286	0.0064	142.0000	0.0238	0.0073	132.0000	0.0203	0.0077	Western Huasteca Nahuatl
ay	0.4951	0.1941	5.7223	184.0000	0.0315	0.0070	143.5000	0.0236	0.0072	151.0000	0.0149	0.0056	Aymara
bua	0.3161	0.1941	7.6816	216.0000	0.0201	0.0045	143.5000	0.0236	0.0072	134.0000	0.0200	0.0075	Buriat
se	0.2021	0.1918	12.2876	241.0000	0.0129	0.0029	145.0000	0.0233	0.0072	100.0000	0.0319	0.0121	Northern Sami
mdf	0.3018	0.1853	7.3324	220.0000	0.0192	0.0043	146.0000	0.0225	0.0069	136.0000	0.0191	0.0072	Moksha
vmw	3.3584	0.1814	3.5117	51.0000	0.2138	0.0478	147.0000	0.0220	0.0068	173.0000	0.0091	0.0034	Makhuwa
bm_Latn	7.7528	0.1783	11.5764	25.0000	0.4936	0.1104	148.0000	0.0217	0.0067	106.0000	0.0301	0.0114	Bambara (Latin)
suk	4.0261	0.1771	7.3849	48.0000	0.2563	0.0573	149.0000	0.0215	0.0066	135.0000	0.0192	0.0072	Sukuma
kum	0.2874	0.1765	6.9832	222.0000	0.0183	0.0041	150.0000	0.0215	0.0066	140.0000	0.0182	0.0069	Kumyk
arn	0.2634	0.1751	5.9343	227.0000	0.0168	0.0038	151.0000	0.0213	0.0065	150.0000	0.0154	0.0058	Mapuche
maz	0.4025	0.1749	7.0003	200.0000	0.0256	0.0057	152.0000	0.0213	0.0065	139.0000	0.0182	0.0069	Central Mazahua
kea	0.4659	0.1747	2.9111	188.0000	0.0297	0.0066	153.0000	0.0212	0.0065	189.0000	0.0076	0.0029	Kabuverdianu
myx	1.0679	0.1730	1.7948	123.0000	0.0680	0.0152	154.0000	0.0210	0.0065	218.0000	0.0047	0.0018	Masaaba
ext	0.2284	0.1635	7.2951	237.0000	0.0145	0.0033	155.0000	0.0199	0.0061	137.0000	0.0190	0.0072	Extremaduran
lua	7.3911	0.1626	4.8441	26.0000	0.4706	0.1052	156.0000	0.0198	0.0061	157.0000	0.0126	0.0048	Luba-Lulua
lez	0.2587	0.1588	6.2849	228.5000	0.0165	0.0037	157.5000	0.0193	0.0059	144.5000	0.0163	0.0062	Lezghian
kv	0.2587	0.1588	6.2849	228.5000	0.0165	0.0037	157.5000	0.0193	0.0059	144.5000	0.0163	0.0062	Komi
mxc	0.8526	0.1577	1.6661	139.0000	0.0543	0.0121	159.0000	0.0192	0.0059	221.0000	0.0043	0.0016	Manyika
abr	1.2782	0.1572	5.1491	109.0000	0.0814	0.0182	160.0000	0.0191	0.0059	154.0000	0.0134	0.0051	Abron
swc	6.9292	0.1524	4.5413	30.0000	0.4412	0.0987	161.0000	0.0185	0.0057	162.0000	0.0118	0.0045	Congo Swahili
krc	0.2299	0.1412	5.5866	234.5000	0.0146	0.0033	162.5000	0.0172	0.0053	152.5000	0.0145	0.0055	Karachay-Balkar
inh	0.2299	0.1412	5.5866	234.5000	0.0146	0.0033	162.5000	0.0172	0.0053	152.5000	0.0145	0.0055	Ingush
nus	0.6189	0.1405	2.7408	164.0000	0.0394	0.0088	164.0000	0.0171	0.0052	197.0000	0.0071	0.0027	Nuer
srn	0.3720	0.1391	5.9847	203.0000	0.0237	0.0053	165.0000	0.0169	0.0052	149.0000	0.0156	0.0059	Sranan Tongo
bho	0.3515	0.1371	6.0197	208.0000	0.0224	0.0050	166.0000	0.0167	0.0051	148.0000	0.0156	0.0059	Bhojpuri
ltg	0.1815	0.1365	4.1427	248.0000	0.0116	0.0026	167.0000	0.0166	0.0051	168.0000	0.0108	0.0041	Latgalian
ti	9.1278	0.1355	12.1487	21.0000	0.5812	0.1300	168.0000	0.0165	0.0051	101.0000	0.0316	0.0119	Tigrinya
kaj	0.3555	0.1351	2.0426	206.0000	0.0226	0.0051	169.0000	0.0164	0.0050	209.0000	0.0053	0.0020	Jju
loz	0.8723	0.1343	3.4245	138.0000	0.0555	0.0124	170.0000	0.0163	0.0050	176.0000	0.0089	0.0034	Lozi
dav	0.3428	0.1337	1.0313	213.0000	0.0218	0.0049	171.0000	0.0163	0.0050	250.0000	0.0027	0.0010	Taita
nv	0.1582	0.1332	8.3840	252.0000	0.0101	0.0023	172.0000	0.0162	0.0050	127.0000	0.0218	0.0082	Navajo
rw	1.0659	0.1317	1.4914	124.0000	0.0679	0.0152	173.0000	0.0160	0.0049	227.0000	0.0039	0.0015	Kinyarwanda
kck	0.6952	0.1286	1.3585	156.0000	0.0443	0.0099	174.0000	0.0156	0.0048	233.0000	0.0035	0.0013	Kalanga
fon	2.5802	0.1264	4.6262	68.0000	0.1643	0.0367	175.0000	0.0154	0.0047	160.0000	0.0120	0.0045	Fon
tyv	0.1868	0.1147	4.5391	246.0000	0.0119	0.0027	176.0000	0.0139	0.0043	163.0000	0.0118	0.0045	Tuvinian
pko	0.2926	0.1141	0.8804	221.0000	0.0186	0.0042	177.0000	0.0139	0.0043	262.0000	0.0023	0.0009	Pökoot
mk	0.1901	0.1139	4.5862	245.0000	0.0121	0.0027	178.0000	0.0138	0.0043	161.0000	0.0119	0.0045	Macedonian
ttj	0.6997	0.1133	1.1759	155.0000	0.0446	0.0100	179.0000	0.0138	0.0042	242.0000	0.0031	0.0012	Tooro
gur	0.8947	0.1100	3.6044	136.0000	0.0570	0.0127	180.0000	0.0134	0.0041	172.0000	0.0094	0.0035	Frafra
ks_Arab	0.1218	0.1094	4.4088	263.0000	0.0078	0.0017	181.0000	0.0133	0.0041	165.0000	0.0115	0.0043	Kashmiri (Arabic)
kj	0.7609	0.1058	7.7858	150.0000	0.0484	0.0108	182.0000	0.0129	0.0039	133.0000	0.0202	0.0076	Kuanyama
pdc	0.1234	0.1039	6.5395	262.0000	0.0079	0.0018	183.0000	0.0126	0.0039	142.0000	0.0170	0.0064	Pennsylvania German
kri	5.7988	0.0986	11.1549	35.0000	0.3692	0.0826	184.0000	0.0120	0.0037	109.0000	0.0290	0.0109	Krio
nch	0.2250	0.0978	3.9119	239.0000	0.0143	0.0032	185.0000	0.0119	0.0037	169.0000	0.0102	0.0038	Central Huasteca Nahuatl
ngl	1.7567	0.0949	1.8369	86.0000	0.1119	0.0250	186.0000	0.0115	0.0035	217.0000	0.0048	0.0018	Lomwe
ada	0.7669	0.0943	3.0895	149.0000	0.0488	0.0109	187.0000	0.0115	0.0035	186.0000	0.0080	0.0030	Adangme
sl	0.1378	0.0882	4.9689	257.0000	0.0088	0.0020	188.0000	0.0107	0.0033	156.0000	0.0129	0.0049	Slovenian
gaa	0.7158	0.0880	2.8835	153.0000	0.0456	0.0102	189.0000	0.0107	0.0033	192.0000	0.0075	0.0028	Ga
ln	2.6377	0.0861	3.3093	67.0000	0.1679	0.0376	190.0000	0.0105	0.0032	180.0000	0.0086	0.0032	Lingala
az_Cyrl	0.1336	0.0821	3.2472	258.0000	0.0085	0.0019	191.0000	0.0100	0.0031	183.0000	0.0084	0.0032	Azerbaijani (Cyrillic)
tum	1.4373	0.0776	1.0751	100.0000	0.0915	0.0205	192.5000	0.0094	0.0029	247.0000	0.0028	0.0011	Tumbuka
ady	0.1265	0.0776	3.0726	260.0000	0.0081	0.0018	192.5000	0.0094	0.0029	187.0000	0.0080	0.0030	Adyghe
dyo	0.3673	0.0768	0.8238	204.0000	0.0234	0.0052	194.0000	0.0093	0.0029	264.0000	0.0021	0.0008	Jola-Fonyi
man_Latn	0.5440	0.0762	0.8932	176.0000	0.0346	0.0077	195.0000	0.0093	0.0028	259.0000	0.0023	0.0009	Mandingo (Latin)
saq	0.1923	0.0750	0.5785	244.0000	0.0122	0.0027	196.0000	0.0091	0.0028	283.0000	0.0015	0.0006	Samburu
krl	0.1178	0.0724	2.8631	266.0000	0.0075	0.0017	197.0000	0.0088	0.0027	193.0000	0.0074	0.0028	Karelian
pdt	0.0843	0.0723	3.6442	276.0000	0.0054	0.0012	198.0000	0.0088	0.0027	171.0000	0.0095	0.0036	Plautdietsch
bci	2.6476	0.0688	7.1744	65.0000	0.1686	0.0377	199.5000	0.0084	0.0026	138.0000	0.0187	0.0070	Baoulé
lbe	0.1121	0.0688	2.7235	268.0000	0.0071	0.0016	199.5000	0.0084	0.0026	198.0000	0.0071	0.0027	Lak
nym	1.5271	0.0672	2.8012	97.0000	0.0972	0.0217	201.0000	0.0082	0.0025	195.0000	0.0073	0.0027	Nyamwezi
guc	0.1272	0.0658	1.6254	259.0000	0.0081	0.0018	202.0000	0.0080	0.0025	222.0000	0.0042	0.0016	Wayuu
bum	1.0117	0.0648	2.8944	128.0000	0.0644	0.0144	203.0000	0.0079	0.0024	190.0000	0.0075	0.0028	Bulu
seh	1.1884	0.0642	1.2426	113.0000	0.0757	0.0169	204.0000	0.0078	0.0024	237.0000	0.0032	0.0012	Sena
ng	0.4565	0.0635	4.6715	192.0000	0.0291	0.0065	205.0000	0.0077	0.0024	159.0000	0.0121	0.0046	Ndonga
fan	0.3861	0.0633	13.0366	201.0000	0.0246	0.0055	206.0000	0.0077	0.0024	96.0000	0.0339	0.0128	Fang
ar	3.3482	0.0628	8.3057	53.0000	0.2132	0.0477	207.5000	0.0076	0.0023	128.0000	0.0216	0.0081	Arabic
mgh	1.1625	0.0628	1.2156	115.0000	0.0740	0.0166	207.5000	0.0076	0.0023	240.0000	0.0032	0.0012	Makhuwa-Meetto
aa	1.8556	0.0622	3.1660	83.0000	0.1181	0.0264	209.0000	0.0076	0.0023	185.0000	0.0082	0.0031	Afar
vro	0.0752	0.0602	1.9604	278.0000	0.0048	0.0011	210.0000	0.0073	0.0022	213.0000	0.0051	0.0019	Võro
kcg	0.1574	0.0598	0.9046	253.0000	0.0100	0.0022	211.0000	0.0073	0.0022	258.0000	0.0024	0.0009	Tyap
sdc	0.1015	0.0593	3.4602	273.0000	0.0065	0.0014	212.0000	0.0072	0.0022	175.0000	0.0090	0.0034	Sassarese Sardinian
sid	3.1098	0.0591	4.4362	57.0000	0.1980	0.0443	213.0000	0.0072	0.0022	164.0000	0.0115	0.0044	Sidamo
gag	0.1174	0.0573	0.5481	267.0000	0.0075	0.0017	214.0000	0.0070	0.0021	288.0000	0.0014	0.0005	Gagauz
gd	0.0634	0.0570	2.2972	285.0000	0.0040	0.0009	215.0000	0.0069	0.0021	203.0000	0.0060	0.0023	Scottish Gaelic
fit	0.0530	0.0502	2.3002	289.0000	0.0034	0.0008	216.0000	0.0061	0.0019	202.0000	0.0060	0.0023	Tornedalen Finnish
frp	0.0598	0.0490	2.3824	286.5000	0.0038	0.0009	217.0000	0.0060	0.0018	200.0000	0.0062	0.0023	Arpitan
kde	1.1106	0.0489	2.0372	120.0000	0.0707	0.0158	218.0000	0.0059	0.0018	210.0000	0.0053	0.0020	Makonde
dje	2.8222	0.0480	2.7780	63.0000	0.1797	0.0402	219.0000	0.0058	0.0018	196.0000	0.0072	0.0027	Zarma
rng	0.8784	0.0474	0.9184	137.0000	0.0559	0.0125	220.0000	0.0058	0.0018	257.0000	0.0024	0.0009	Ronga
crs	0.0911	0.0459	2.1423	275.0000	0.0058	0.0013	221.0000	0.0056	0.0017	207.0000	0.0056	0.0021	Seselwa Creole French
ewo	0.6818	0.0436	1.9506	158.0000	0.0434	0.0097	222.0000	0.0053	0.0016	214.0000	0.0051	0.0019	Ewondo
man_Nkoo	2.5588	0.0409	3.3810	69.0000	0.1629	0.0364	223.0000	0.0050	0.0015	177.0000	0.0088	0.0033	Mandingo (N’Ko)
koi	0.0647	0.0397	1.5712	284.0000	0.0041	0.0009	224.0000	0.0048	0.0015	224.0000	0.0041	0.0015	Komi-Permyak
sk	0.0721	0.0394	1.0152	280.0000	0.0046	0.0010	225.0000	0.0048	0.0015	254.0000	0.0026	0.0010	Slovak
lu	1.7708	0.0390	1.1606	85.0000	0.1127	0.0252	226.0000	0.0047	0.0015	244.0000	0.0030	0.0011	Luba-Katanga
rm	0.0400	0.0347	2.1598	292.0000	0.0025	0.0006	227.0000	0.0042	0.0013	206.0000	0.0056	0.0021	Romansh
bez	0.7867	0.0346	1.4430	146.5000	0.0501	0.0112	228.5000	0.0042	0.0013	229.5000	0.0038	0.0014	Bena
ksb	0.7867	0.0346	1.4430	146.5000	0.0501	0.0112	228.5000	0.0042	0.0013	229.5000	0.0038	0.0014	Shambala
yo	0.6915	0.0339	1.2398	157.0000	0.0440	0.0098	230.0000	0.0041	0.0013	238.0000	0.0032	0.0012	Yoruba
yao	0.6200	0.0335	0.6483	163.0000	0.0395	0.0088	231.0000	0.0041	0.0013	275.0000	0.0017	0.0006	Yao
cr_Cans	0.0386	0.0331	1.6703	293.5000	0.0025	0.0005	233.0000	0.0040	0.0012	219.5000	0.0043	0.0016	Cree (Unified Canadian Aboriginal Syllabics)
crk	0.0386	0.0331	1.6703	293.5000	0.0025	0.0005	233.0000	0.0040	0.0012	219.5000	0.0043	0.0016	Plains Cree
kpe	0.9941	0.0331	1.0653	130.0000	0.0633	0.0142	233.0000	0.0040	0.0012	248.0000	0.0028	0.0010	Kpelle
csb	0.0501	0.0315	1.1658	290.0000	0.0032	0.0007	235.0000	0.0038	0.0012	243.0000	0.0030	0.0011	Kashubian
nzi	0.2556	0.0314	1.0298	230.0000	0.0163	0.0036	236.0000	0.0038	0.0012	251.0000	0.0027	0.0010	Nzima
gn	0.0692	0.0313	0.7305	282.0000	0.0044	0.0010	237.0000	0.0038	0.0012	273.0000	0.0019	0.0007	Guarani
wal	1.5993	0.0304	2.2815	93.0000	0.1018	0.0228	238.0000	0.0037	0.0011	205.0000	0.0059	0.0022	Wolaytta
ffm	1.2978	0.0298	1.9378	108.0000	0.0826	0.0185	239.0000	0.0036	0.0011	215.0000	0.0050	0.0019	Maasina Fulfulde
men	1.6677	0.0289	3.1877	90.0000	0.1062	0.0237	240.0000	0.0035	0.0011	184.0000	0.0083	0.0031	Mende
mgy	0.6479	0.0285	1.1884	160.0000	0.0413	0.0092	241.0000	0.0035	0.0011	241.0000	0.0031	0.0012	Mbunga
naq	0.2000	0.0278	2.0465	242.0000	0.0127	0.0028	242.0000	0.0034	0.0010	208.0000	0.0053	0.0020	Nama
hz	0.1978	0.0275	2.0243	243.0000	0.0126	0.0028	243.0000	0.0033	0.0010	211.0000	0.0053	0.0020	Herero
tem	1.5870	0.0270	3.0529	94.0000	0.1010	0.0226	244.0000	0.0033	0.0010	188.0000	0.0079	0.0030	Timne
sef	1.0350	0.0269	2.8045	125.0000	0.0659	0.0147	245.0000	0.0033	0.0010	194.0000	0.0073	0.0028	Cebaara Senoufo
ur	0.0677	0.0264	1.1593	283.0000	0.0043	0.0010	246.0000	0.0032	0.0010	245.0000	0.0030	0.0011	Urdu
kg	1.1549	0.0254	0.7569	117.0000	0.0735	0.0164	247.0000	0.0031	0.0009	267.0000	0.0020	0.0007	Kongo
dnj	0.9628	0.0250	2.6089	132.0000	0.0613	0.0137	248.5000	0.0030	0.0009	199.0000	0.0068	0.0026	Dan
tmh	1.3500	0.0250	1.5090	105.0000	0.0860	0.0192	248.5000	0.0030	0.0009	225.0000	0.0039	0.0015	Tamashek
asa	0.5553	0.0244	1.0186	173.0000	0.0354	0.0079	250.0000	0.0030	0.0009	252.0000	0.0026	0.0010	Asu
haw	0.0282	0.0237	1.4924	304.0000	0.0018	0.0004	251.0000	0.0029	0.0009	226.0000	0.0039	0.0015	Hawaiian
snk	0.9944	0.0229	1.4848	129.0000	0.0633	0.0142	252.0000	0.0028	0.0009	228.0000	0.0039	0.0015	Soninke
ybb	0.3519	0.0225	1.0067	207.0000	0.0224	0.0050	253.0000	0.0027	0.0008	255.0000	0.0026	0.0010	Yemba
frc	0.0266	0.0224	1.4085	305.0000	0.0017	0.0004	254.0000	0.0027	0.0008	231.0000	0.0037	0.0014	Cajun French
fur	0.0358	0.0209	1.2213	295.0000	0.0023	0.0005	255.0000	0.0025	0.0008	239.0000	0.0032	0.0012	Friulian
chr	0.0244	0.0205	1.2911	306.0000	0.0016	0.0003	256.0000	0.0025	0.0008	234.0000	0.0034	0.0013	Cherokee
ml	0.0224	0.0202	0.8122	309.0000	0.0014	0.0003	257.0000	0.0025	0.0008	266.0000	0.0021	0.0008	Malayalam
rmo	0.0232	0.0201	1.2527	308.0000	0.0015	0.0003	258.0000	0.0024	0.0008	236.0000	0.0033	0.0012	Sinte Romani
fuq	1.1621	0.0198	1.1439	116.0000	0.0740	0.0165	259.0000	0.0024	0.0007	246.0000	0.0030	0.0011	Central-Eastern Niger Fulfulde
bbj	0.3079	0.0197	0.8809	217.5000	0.0196	0.0044	260.5000	0.0024	0.0007	260.5000	0.0023	0.0009	Ghomala
nnh	0.3079	0.0197	0.8809	217.5000	0.0196	0.0044	260.5000	0.0024	0.0007	260.5000	0.0023	0.0009	Ngiemboon
sus	1.2238	0.0196	1.6170	110.0000	0.0779	0.0174	262.0000	0.0024	0.0007	223.0000	0.0042	0.0016	Susu
mwk	0.8427	0.0194	1.2583	141.0000	0.0537	0.0120	263.0000	0.0024	0.0007	235.0000	0.0033	0.0012	Kita Maninkakan
mrj	0.0302	0.0185	0.7332	302.0000	0.0019	0.0004	264.0000	0.0022	0.0007	272.0000	0.0019	0.0007	Western Mari
bkm	0.2859	0.0183	0.8180	224.0000	0.0182	0.0041	265.0000	0.0022	0.0007	265.0000	0.0021	0.0008	Kom
sr_Cyrl	0.0312	0.0177	0.4569	298.5000	0.0020	0.0004	266.5000	0.0022	0.0007	294.0000	0.0012	0.0004	Serbian (Cyrillic)
lag	0.4026	0.0177	0.7385	199.0000	0.0256	0.0057	266.5000	0.0022	0.0007	270.0000	0.0019	0.0007	Langi
egl	0.0298	0.0174	1.0177	303.0000	0.0019	0.0004	268.0000	0.0021	0.0006	253.0000	0.0026	0.0010	Emilian
bas	0.2639	0.0169	0.7551	225.5000	0.0168	0.0038	269.5000	0.0021	0.0006	268.5000	0.0020	0.0007	Basaa
bax	0.2639	0.0169	0.7551	225.5000	0.0168	0.0038	269.5000	0.0021	0.0006	268.5000	0.0020	0.0007	Bamun
esu	0.0196	0.0165	1.0396	312.0000	0.0012	0.0003	271.0000	0.0020	0.0006	249.0000	0.0027	0.0010	Central Yupik
sr_Latn	0.0305	0.0158	0.5677	301.0000	0.0019	0.0004	272.0000	0.0019	0.0006	284.0000	0.0015	0.0006	Serbian (Latin)
dak	0.0187	0.0157	0.9893	313.0000	0.0012	0.0003	273.0000	0.0019	0.0006	256.0000	0.0026	0.0010	Dakota
byv	0.2419	0.0155	0.6921	232.0000	0.0154	0.0034	274.0000	0.0019	0.0006	274.0000	0.0018	0.0007	Medumba
rof	0.3471	0.0153	0.6366	211.0000	0.0221	0.0049	276.0000	0.0019	0.0006	279.0000	0.0017	0.0006	Rombo
jmc	0.3471	0.0153	0.6366	211.0000	0.0221	0.0049	276.0000	0.0019	0.0006	279.0000	0.0017	0.0006	Machame
vun	0.3471	0.0153	0.6366	211.0000	0.0221	0.0049	276.0000	0.0019	0.0006	279.0000	0.0017	0.0006	Vunjo
ga	0.0167	0.0150	0.6033	315.0000	0.0011	0.0002	278.0000	0.0018	0.0006	282.0000	0.0016	0.0006	Irish
mua	0.2199	0.0141	0.6292	240.0000	0.0140	0.0031	279.0000	0.0017	0.0005	281.0000	0.0016	0.0006	Mundang
cch	0.0355	0.0135	0.2043	296.0000	0.0023	0.0005	280.0000	0.0016	0.0005	324.0000	0.0005	0.0002	Atsam
ses	0.5730	0.0132	0.8556	170.0000	0.0365	0.0082	281.0000	0.0016	0.0005	263.0000	0.0022	0.0008	Koyraboro Senni
puu	0.1407	0.0129	2.8865	256.0000	0.0090	0.0020	282.0000	0.0016	0.0005	191.0000	0.0075	0.0028	Punu
iu_Latn	0.0147	0.0127	0.6377	317.0000	0.0009	0.0002	284.0000	0.0015	0.0005	276.5000	0.0017	0.0006	Inuktitut (Latin)
ta	0.0325	0.0127	0.5574	297.0000	0.0021	0.0005	284.0000	0.0015	0.0005	286.0000	0.0014	0.0005	Tamil
iu_Cans	0.0147	0.0127	0.6377	317.0000	0.0009	0.0002	284.0000	0.0015	0.0005	276.5000	0.0017	0.0006	Inuktitut (Unified Canadian Aboriginal Syllabics)
alt	0.0201	0.0124	0.4888	310.5000	0.0013	0.0003	286.0000	0.0015	0.0005	292.0000	0.0013	0.0005	Southern Altai
hsb	0.0129	0.0109	0.5620	319.0000	0.0008	0.0002	287.0000	0.0013	0.0004	285.0000	0.0015	0.0006	Upper Sorbian
kgp	0.0201	0.0104	0.3013	310.5000	0.0013	0.0003	288.0000	0.0013	0.0004	308.0000	0.0008	0.0003	Kaingang
lol	0.4696	0.0103	0.3078	187.0000	0.0299	0.0067	290.0000	0.0013	0.0004	305.0000	0.0008	0.0003	Mongo
tig	1.1390	0.0103	1.3631	118.0000	0.0725	0.0162	290.0000	0.0013	0.0004	232.0000	0.0035	0.0013	Tigre
maf	0.1606	0.0103	0.4593	251.0000	0.0102	0.0023	290.0000	0.0013	0.0004	293.0000	0.0012	0.0005	Mafa
moe	0.0116	0.0099	0.5011	321.0000	0.0007	0.0002	292.0000	0.0012	0.0004	291.0000	0.0013	0.0005	Montagnais
bvb	0.0598	0.0098	2.0194	286.5000	0.0038	0.0009	293.0000	0.0012	0.0004	212.0000	0.0052	0.0020	Bube
tog	0.1677	0.0091	0.1254	250.0000	0.0107	0.0024	294.0000	0.0011	0.0003	336.0000	0.0003	0.0001	Nyasa Tonga
rmu	0.0094	0.0089	0.4099	327.0000	0.0006	0.0001	295.5000	0.0011	0.0003	299.0000	0.0011	0.0004	Tavringer Romani
nqo	0.5563	0.0089	0.7350	172.0000	0.0354	0.0079	295.5000	0.0011	0.0003	271.0000	0.0019	0.0007	NʼKo
cho	0.0104	0.0088	0.5533	323.0000	0.0007	0.0001	297.0000	0.0011	0.0003	287.0000	0.0014	0.0005	Choctaw
gub	0.0169	0.0087	0.2531	314.0000	0.0011	0.0002	298.5000	0.0011	0.0003	313.0000	0.0007	0.0002	Guajajára
chk	0.0312	0.0087	0.0972	298.5000	0.0020	0.0004	298.5000	0.0011	0.0003	342.0000	0.0003	0.0001	Chuukese
wae	0.0096	0.0083	0.5184	326.0000	0.0006	0.0001	300.0000	0.0010	0.0003	289.0000	0.0013	0.0005	Walser
frr	0.0097	0.0081	0.4215	325.0000	0.0006	0.0001	301.0000	0.0010	0.0003	297.0000	0.0011	0.0004	Northern Frisian
bfd	0.1254	0.0080	0.3586	261.0000	0.0080	0.0018	302.0000	0.0010	0.0003	300.0000	0.0009	0.0004	Bafut
bm_Nkoo	0.3371	0.0078	0.5033	214.0000	0.0215	0.0048	303.0000	0.0009	0.0003	290.0000	0.0013	0.0005	Bambara (N’Ko)
kkj	0.1188	0.0076	0.3398	264.5000	0.0076	0.0017	304.5000	0.0009	0.0003	301.5000	0.0009	0.0003	Kako
bss	0.1188	0.0076	0.3398	264.5000	0.0076	0.0017	304.5000	0.0009	0.0003	301.5000	0.0009	0.0003	Akoose
sli	0.0119	0.0075	0.2780	320.0000	0.0008	0.0002	306.0000	0.0009	0.0003	310.0000	0.0007	0.0003	Lower Silesian
lkt	0.0082	0.0069	0.4360	330.0000	0.0005	0.0001	307.5000	0.0008	0.0003	295.0000	0.0011	0.0004	Lakota
kl	0.0073	0.0069	0.3131	336.0000	0.0005	0.0001	307.5000	0.0008	0.0003	304.0000	0.0008	0.0003	Kalaallisut
